n=26: 230230 subsets, initial violations 4029
  ..step 239075328: cur 1004 best 797
  ..step 240123904: cur 1029 best 797
  ..step 241172480: cur 970 best 797
  ..step 242221056: cur 871 best 797
  ..step 243269632: cur 928 best 797
  ..step 244318208: cur 955 best 797
  ..step 245366784: cur 878 best 797
  ..step 246415360: cur 858 best 797
  ..step 247463936: cur 909 best 797
  ..step 248512512: cur 967 best 797
  ..step 249561088: cur 1097 best 797
  ..step 250609664: cur 1123 best 797
  ..step 251658240: cur 926 best 797
  ..step 252706816: cur 881 best 797
  ..step 253755392: cur 1262 best 797
  ..step 254803968: cur 879 best 797
  ..step 255852544: cur 946 best 797
  ..step 256901120: cur 976 best 797
  ..step 257949696: cur 1060 best 797
  ..step 258998272: cur 1158 best 797
  ..step 260046848: cur 894 best 797
  ..step 261095424: cur 1040 best 797
  ..step 262144000: cur 885 best 797
  ..step 263192576: cur 1249 best 797
  ..step 264241152: cur 1052 best 797
  ..step 265289728: cur 1059 best 797
  ..step 266338304: cur 1084 best 797
  ..step 267386880: cur 1115 best 797
  ..step 268435456: cur 866 best 797
  ..step 269484032: cur 891 best 797
  ..step 270532608: cur 1024 best 797
  ..step 271581184: cur 887 best 797
  ..step 272629760: cur 956 best 797
  ..step 273678336: cur 1067 best 797
  ..step 274726912: cur 1034 best 797
  ..step 275775488: cur 906 best 797
  ..step 276824064: cur 1146 best 797
  ..step 277872640: cur 869 best 797
  ..step 278921216: cur 930 best 797
  ..step 279969792: cur 1645 best 797
  ..step 281018368: cur 910 best 797
  ..step 282066944: cur 1272 best 797
  ..step 283115520: cur 943 best 797
  ..step 284164096: cur 888 best 797
  ..step 285212672: cur 928 best 797
  ..step 286261248: cur 921 best 797
  ..step 287309824: cur 993 best 797
  ..step 288358400: cur 880 best 797
  ..step 289406976: cur 956 best 797
  ..step 290455552: cur 899 best 797
  ..step 291504128: cur 878 best 797
  ..step 292552704: cur 1148 best 797
  ..step 293601280: cur 868 best 797
  ..step 294649856: cur 1223 best 797
  ..step 295698432: cur 1714 best 797
  ..step 296747008: cur 880 best 797
  ..step 297795584: cur 914 best 797
  ..step 298844160: cur 961 best 797
  ..step 299892736: cur 936 best 797
  ..step 300941312: cur 1080 best 797
  ..step 301989888: cur 902 best 797
  ..step 303038464: cur 883 best 797
  ..step 304087040: cur 852 best 797
  ..step 305135616: cur 1180 best 797
  ..step 306184192: cur 1110 best 797
  ..step 307232768: cur 986 best 797
  ..step 308281344: cur 971 best 797
  ..step 309329920: cur 1438 best 797
  ..step 310378496: cur 899 best 797
  ..step 311427072: cur 1085 best 797
  ..step 312475648: cur 876 best 797
  ..step 313524224: cur 1426 best 797
  ..step 314572800: cur 874 best 797
  ..step 315621376: cur 955 best 797
  ..step 316669952: cur 864 best 797
  ..step 317718528: cur 1058 best 797
  ..step 318767104: cur 1111 best 797
  ..step 319815680: cur 1232 best 797
  ..step 320864256: cur 877 best 797
  ..step 321912832: cur 1395 best 797
  ..step 322961408: cur 905 best 797
  ..step 324009984: cur 879 best 797
  ..step 325058560: cur 1180 best 797
  ..step 326107136: cur 1093 best 797
  ..step 327155712: cur 1202 best 797
  ..step 328204288: cur 1243 best 797
  ..step 329252864: cur 886 best 797
  ..step 330301440: cur 876 best 797
  ..step 331350016: cur 1063 best 797
  ..step 332398592: cur 1736 best 797
  ..step 333447168: cur 1112 best 797
  ..step 334495744: cur 1117 best 797
  ..step 335544320: cur 878 best 797
  ..step 336592896: cur 1210 best 797
  ..step 337641472: cur 1002 best 797
  ..step 338690048: cur 1452 best 797
  ..step 339738624: cur 1651 best 797
  ..step 340787200: cur 866 best 797
  ..step 341835776: cur 990 best 797
  ..step 342884352: cur 1278 best 797
  ..step 343932928: cur 1163 best 797
  ..step 344981504: cur 1437 best 797
  ..step 346030080: cur 1435 best 797
  ..step 347078656: cur 1222 best 797
  ..step 348127232: cur 1324 best 797
  ..step 349175808: cur 867 best 797
  ..step 350224384: cur 1036 best 797
  ..step 351272960: cur 956 best 797
  ..step 352321536: cur 897 best 797
  ..step 353370112: cur 910 best 797
  ..step 354418688: cur 912 best 797
  ..step 355467264: cur 1355 best 797
  ..step 356515840: cur 982 best 797
  ..step 357564416: cur 1210 best 797
  ..step 358612992: cur 853 best 797
  ..step 359661568: cur 1026 best 797
  ..step 360710144: cur 861 best 797
  ..step 361758720: cur 1179 best 797
  ..step 362807296: cur 842 best 797
  ..step 363855872: cur 1171 best 797
  ..step 364904448: cur 1083 best 797
  ..step 365953024: cur 916 best 797
  ..step 367001600: cur 872 best 797
  ..step 368050176: cur 905 best 797
  ..step 369098752: cur 920 best 797
  ..step 370147328: cur 879 best 797
  ..step 371195904: cur 1100 best 797
  ..step 372244480: cur 909 best 797
  ..step 373293056: cur 1145 best 797
  ..step 374341632: cur 878 best 797
  ..step 375390208: cur 1688 best 797
  ..step 376438784: cur 1111 best 797
  ..step 377487360: cur 886 best 797
  ..step 378535936: cur 902 best 797
  ..step 379584512: cur 891 best 797
  ..step 380633088: cur 1055 best 797
  ..step 381681664: cur 906 best 797
  ..step 382730240: cur 908 best 797
  ..step 383778816: cur 835 best 797
  ..step 384827392: cur 901 best 797
  ..step 385875968: cur 1037 best 797
  ..step 386924544: cur 1040 best 797
  ..step 387973120: cur 1197 best 797
  ..step 389021696: cur 946 best 797
  ..step 390070272: cur 1473 best 797
  ..step 391118848: cur 1441 best 797
  ..step 392167424: cur 1088 best 797
  ..step 393216000: cur 896 best 797
  ..step 394264576: cur 960 best 797
  ..step 395313152: cur 1177 best 797
  ..step 396361728: cur 1587 best 797
  ..step 397410304: cur 1052 best 797
  ..step 398458880: cur 1889 best 797
  ..step 399507456: cur 1253 best 797
  ..step 400556032: cur 885 best 797
  ..step 401604608: cur 899 best 797
  ..step 402653184: cur 1254 best 797
  ..step 403701760: cur 1290 best 797
  ..step 404750336: cur 904 best 797
  ..step 405798912: cur 937 best 797
  ..step 406847488: cur 1078 best 797
  ..step 407896064: cur 913 best 797
  ..step 408944640: cur 1117 best 797
  ..step 409993216: cur 1479 best 797
  ..step 411041792: cur 1402 best 797
  ..step 412090368: cur 1063 best 797
  ..step 413138944: cur 889 best 797
  ..step 414187520: cur 1571 best 797
  ..step 415236096: cur 1000 best 797
  ..step 416284672: cur 1336 best 797
  ..step 417333248: cur 1304 best 797
  ..step 418381824: cur 916 best 797
  ..step 419430400: cur 1311 best 797
  ..step 420478976: cur 890 best 797
  ..step 421527552: cur 1536 best 797
  ..step 422576128: cur 1201 best 797
  ..step 423624704: cur 1245 best 797
